S.No.,Name,Height,Width,Channels,Avg Blue,Avg Red,Avg Green
1,bear1.jpg,776,1040,3,115.5288276,127.6431391,122.6169285
2,bear2.jpg,2868,5100,3,100.8785991,160.559695,154.5878372
3,bear3.jpg,900,1200,3,77.324025,103.1922463,130.4039056
4,bear4.jpg,3648,5272,3,101.3072125,104.4443056,110.8141796
5,bear5.jpg,1200,1200,3,82.13987083,130.9990528,129.4082035
6,bird1.jpg,1128,1504,3,116.851187,133.4119546,145.9017761
7,cat1.jpg,1200,1800,3,69.44580093,110.0833458,139.3515361
9,cat11.jpg,2187,2187,3,121.2901827,145.438606,163.1476723
10,cat12.jpg,675,1200,3,106.7972827,121.2881123,115.8956025
11,cat13.jpg,1415,2103,3,148.4326873,159.85376,175.9352811
12,cat14.jpg,1200,1800,3,108.4623894,120.7276602,155.3174102
13,cat15.jpg,2048,3072,3,186.2157197,183.5072056,182.8370929
14,cat16.jpg,1800,3200,3,163.4540092,184.1226616,197.0293252
15,cat17.jpg,960,1440,3,100.099639,113.9990307,122.7909954
16,cat2.jpg,720,1280,3,126.4669076,144.0788422,153.4687066
17,cat3.jpg,698,1240,3,177.0322685,176.339359,183.1152105
18,cat4.jpg,1575,2800,3,59.06072902,78.81001247,77.2129381
19,cat5.jpg,1200,1200,3,109.3905125,132.5175299,133.4620264
20,cat6.jpg,4749,6332,3,129.1575723,129.7182883,130.6281596
21,cat7.jpg,720,1280,3,205.8803798,194.4803103,185.1723687
22,cat8.jpg,675,1200,3,58.67684938,60.50131111,55.53688642
23,cat9.jpg,840,1920,3,176.6751414,183.3551829,190.4887661
24,dog1.jpg,720,1280,3,126.4784592,153.8416634,170.3180729
25,dog10.jpg,900,1200,3,162.6218389,176.5965444,180.2158111
26,dog11.jpg,1200,1800,3,31.07181852,52.41513056,83.92854769
27,dog12.jpg,1073,1440,3,105.6057568,156.9395956,175.5044566
28,dog13.jpg,800,1200,3,165.5335052,182.8133406,185.9930833
29,dog14.jpg,720,1280,3,121.0450217,140.9174295,134.6574479
30,dog15.jpg,5304,7072,3,122.115748,128.5318078,135.0464447
31,dog16.jpg,1013,1920,3,32.52423546,61.1241969,45.74032679
32,dog17.jpg,853,1280,3,88.42811401,133.0548459,123.6957054
33,dog18.jpg,942,1920,3,37.43824808,83.0651296,85.01582404
34,dog19.jpg,720,1280,3,57.75686523,88.69559245,91.62140516
35,dog2.jpg,900,1200,3,198.3460167,204.9760074,214.9528907
36,dog20.jpg,1414,2120,3,118.5005488,166.6658059,154.6204478
37,dog21.jpg,836,1254,3,98.49337336,133.8297286,139.8161033
38,dog22.jpg,1414,2121,3,97.13184848,142.4697015,127.370782
39,dog23.jpg,560,1440,3,116.7305903,144.0498425,162.3462314
40,dog24.jpg,1080,1920,3,125.9290013,133.6928419,154.3864284
41,dog25.jpg,1396,1396,3,114.266313,143.2765895,172.1596251
42,dog3.jpg,1200,1800,3,89.82927778,149.0667375,142.2410255
44,dog5.jpg,1199,1800,3,31.40716801,84.74524372,76.61354555
45,dog6.jpg,3072,3072,3,137.9260104,159.5710694,177.0637935
46,dog7.jpg,1800,3200,3,187.9556991,170.226009,139.5294615
47,dog8.jpg,1150,1150,3,170.3720454,183.1433149,204.9739917
48,dog9.jpg,675,1200,3,134.0612778,139.4363469,123.1001395
49,penguin1.jpg,1800,1200,3,135.8671602,131.7462079,125.6507583
50,penguin10.jpg,650,1297,3,195.0699116,193.3105747,192.0033699
51,penguin11.jpg,2177,3870,3,112.6751724,124.3828428,133.198763
